worker,question,answer,truth
3,32,1,1
3,15,0,0
3,65,0,0
3,7,0,0
3,53,1,1
3,36,0,0
3,5,0,0
3,50,0,1
3,3,1,1
3,43,1,1
3,6,1,1
3,9,0,1
3,42,0,0
3,82,0,1
3,12,1,1
3,22,0,1
3,62,1,1
3,94,1,1
3,57,1,1
3,39,0,0
2,97,1,0
2,4,0,0
2,85,1,1
2,28,1,1
2,14,1,1
2,11,0,0
2,30,0,1
2,81,1,0
2,18,1,0
2,58,1,1
2,63,0,0
2,37,1,1
2,54,1,0
2,6,0,1
2,5,0,0
2,20,1,1
2,68,1,1
2,42,1,0
2,31,1,1
2,58,1,1
4,45,1,1
4,29,1,1
4,79,1,0
4,69,1,1
4,24,0,0
4,57,0,1
4,52,1,1
4,87,1,1
4,72,0,1
4,28,1,1
4,98,1,1
4,11,0,0
4,41,1,1
4,75,0,0
4,15,1,0
4,48,1,1
4,3,1,1
4,66,1,0
4,76,0,0
4,57,0,1
