worker,question,answer,truth
3,13,1,0
3,84,1,1
3,76,0,0
3,25,0,0
3,49,1,1
3,44,1,1
3,65,0,0
3,78,0,0
3,9,0,1
3,2,1,1
3,83,1,0
3,43,1,1
3,76,0,0
3,0,1,1
3,44,1,1
3,72,1,1
3,22,0,1
3,94,1,1
3,90,1,1
3,3,1,1
2,2,1,1
2,54,1,0
2,93,0,1
2,38,0,1
2,21,0,0
2,42,1,0
2,2,1,1
2,22,1,1
2,43,1,1
2,49,1,1
2,23,0,1
2,23,0,1
2,21,0,0
2,45,1,1
2,28,1,1
2,2,1,1
2,83,0,0
2,55,1,1
2,64,1,1
2,18,1,0
4,99,0,0
4,85,1,1
4,12,0,1
4,33,1,1
4,72,0,1
4,71,0,0
4,93,0,1
4,42,0,0
4,83,0,0
4,67,0,0
4,30,1,1
4,58,1,1
4,88,0,1
4,84,0,1
4,50,0,1
4,58,1,1
4,3,1,1
4,24,0,0
4,79,1,0
4,41,1,1
