worker,question,answer,truth
3,79,0,0
3,82,0,1
3,48,1,1
3,26,1,1
3,0,1,1
3,66,1,0
3,47,0,0
3,75,0,0
3,37,1,1
3,77,1,1
3,27,1,1
3,80,0,0
3,72,1,1
3,41,1,1
3,53,1,1
3,68,1,1
3,19,0,0
3,55,1,1
3,80,0,0
3,26,1,1
2,80,0,0
2,68,1,1
2,84,0,1
2,33,1,1
2,9,0,1
2,80,0,0
2,80,0,0
2,44,0,1
2,9,0,1
2,19,0,0
2,63,0,0
2,29,1,1
2,95,1,1
2,58,1,1
2,20,1,1
2,65,0,0
2,36,0,0
2,93,0,1
2,90,1,1
2,51,1,0
4,64,0,1
4,69,1,1
4,80,0,0
4,97,0,0
4,2,1,1
4,36,0,0
4,60,0,0
4,30,1,1
4,58,1,1
4,8,0,0
4,88,0,1
4,52,1,1
4,11,0,0
4,66,1,0
4,31,1,1
4,19,0,0
4,48,1,1
4,13,1,0
4,20,1,1
4,86,1,1
