worker,question,answer,truth
3,95,0,1
3,94,1,1
3,5,0,0
3,8,0,0
3,83,1,0
3,73,1,1
3,66,1,0
3,30,1,1
3,60,0,0
3,60,0,0
3,58,0,1
3,15,0,0
3,43,1,1
3,39,0,0
3,72,1,1
3,99,0,0
3,94,1,1
3,54,1,0
3,44,1,1
3,26,1,1
2,3,1,1
2,2,1,1
2,46,1,1
2,31,1,1
2,38,0,1
2,89,0,0
2,52,0,1
2,56,1,0
2,23,0,1
2,2,1,1
2,32,1,1
2,13,0,0
2,51,1,0
2,99,0,0
2,67,0,0
2,18,1,0
2,89,0,0
2,79,1,0
2,73,1,1
2,90,1,1
4,76,0,0
4,78,1,0
4,35,1,0
4,98,1,1
4,96,0,0
4,16,0,0
4,75,0,0
4,71,0,0
4,46,0,1
4,53,1,1
4,49,1,1
4,92,1,0
4,50,0,1
4,83,0,0
4,35,1,0
4,88,0,1
4,89,0,0
4,46,0,1
4,56,0,0
4,92,1,0
