worker,question,answer,truth
3,84,1,1
3,75,0,0
3,42,0,0
3,25,0,0
3,51,0,0
3,40,1,0
3,78,0,0
3,30,1,1
3,47,0,0
3,58,0,1
3,90,1,1
3,50,0,1
3,28,1,1
3,75,0,0
3,61,1,1
3,25,0,0
3,90,1,1
3,98,1,1
3,81,0,0
3,90,1,1
2,31,1,1
2,72,1,1
2,89,0,0
2,68,1,1
2,47,0,0
2,10,1,1
2,43,1,1
2,61,1,1
2,91,0,0
2,96,0,0
2,47,0,0
2,86,1,1
2,26,1,1
2,80,0,0
2,54,1,0
2,1,0,0
2,71,0,0
2,39,0,0
2,82,1,1
2,66,1,0
4,0,1,1
4,49,1,1
4,86,1,1
4,24,0,0
4,32,1,1
4,87,1,1
4,19,0,0
4,56,0,0
4,23,0,1
4,96,0,0
4,80,0,0
4,44,1,1
4,8,0,0
4,32,1,1
4,50,0,1
4,93,0,1
4,10,1,1
4,55,1,1
4,70,1,0
4,54,0,0
