worker,question,answer,truth
3,22,0,1
3,96,0,0
3,12,1,1
3,70,1,0
3,8,0,0
3,24,0,0
3,99,0,0
3,20,1,1
3,64,1,1
3,45,0,1
3,45,0,1
3,49,1,1
3,19,0,0
3,83,1,0
3,8,0,0
3,23,1,1
3,1,0,0
3,26,1,1
3,40,1,0
3,90,1,1
2,37,1,1
2,11,0,0
2,25,1,0
2,99,0,0
2,6,0,1
2,62,1,1
2,37,1,1
2,66,1,0
2,33,1,1
2,69,1,1
2,49,1,1
2,64,1,1
2,90,1,1
2,58,1,1
2,14,1,1
2,6,0,1
2,94,0,1
2,48,1,1
2,19,0,0
2,94,0,1
4,57,0,1
4,72,0,1
4,88,0,1
4,28,1,1
4,35,1,0
4,87,1,1
4,13,1,0
4,76,0,0
4,9,1,1
4,69,1,1
4,70,1,0
4,94,1,1
4,84,0,1
4,50,0,1
4,19,0,0
4,15,1,0
4,52,1,1
4,50,0,1
4,7,0,0
4,90,1,1
