worker,question,answer,truth
3,62,1,1
3,74,1,1
3,79,0,0
3,94,1,1
3,73,1,1
3,92,0,0
3,2,1,1
3,46,1,1
3,94,1,1
3,64,1,1
3,90,1,1
3,11,0,0
3,46,1,1
3,24,0,0
3,54,1,0
3,57,1,1
3,1,0,0
3,21,1,0
3,27,1,1
3,91,0,0
2,76,0,0
2,15,0,0
2,79,1,0
2,13,0,0
2,61,1,1
2,12,1,1
2,0,0,1
2,87,0,1
2,20,1,1
2,21,0,0
2,98,1,1
2,87,0,1
2,28,1,1
2,96,0,0
2,53,0,1
2,67,0,0
2,20,1,1
2,94,0,1
2,69,1,1
2,96,0,0
4,89,0,0
4,29,1,1
4,36,0,0
4,16,0,0
4,14,1,1
4,6,1,1
4,30,1,1
4,60,0,0
4,0,1,1
4,67,0,0
4,33,1,1
4,30,1,1
4,81,0,0
4,48,1,1
4,31,1,1
4,48,1,1
4,70,1,0
4,5,0,0
4,97,0,0
4,2,1,1
