worker,question,answer,truth
3,23,1,1
3,54,1,0
3,36,0,0
3,60,0,0
3,62,1,1
3,6,1,1
3,1,0,0
3,83,1,0
3,25,0,0
3,23,1,1
3,99,0,0
3,47,0,0
3,83,1,0
3,47,0,0
3,63,0,0
3,15,0,0
3,63,0,0
3,86,0,1
3,52,1,1
3,74,1,1
2,67,0,0
2,6,0,1
2,75,0,0
2,59,1,0
2,30,0,1
2,3,1,1
2,86,1,1
2,47,0,0
2,71,0,0
2,87,0,1
2,71,0,0
2,92,0,0
2,39,0,0
2,80,0,0
2,44,0,1
2,93,0,1
2,87,0,1
2,9,0,1
2,13,0,0
2,21,0,0
4,96,0,0
4,43,0,1
4,62,1,1
4,30,1,1
4,50,0,1
4,38,0,1
4,35,1,0
4,58,1,1
4,58,1,1
4,90,1,1
4,68,1,1
4,92,1,0
4,85,1,1
4,99,0,0
4,67,0,0
4,16,0,0
4,86,1,1
4,96,0,0
4,90,1,1
4,56,0,0
