question,worker,answer
24,4,0
24,5,0
24,2,0
25,3,1
25,4,1
25,2,1
26,3,1
26,4,1
26,1,1
27,4,0
27,3,1
27,2,1
20,5,0
20,1,0
20,4,0
21,4,0
21,2,0
21,3,0
22,1,1
22,2,1
22,3,1
23,2,1
23,1,1
23,5,1
28,1,1
28,5,1
28,3,0
29,1,1
29,5,1
29,4,1
0,5,1
0,1,1
0,4,1
4,3,1
4,4,1
4,2,1
8,2,1
8,1,1
8,4,0
59,5,1
59,1,0
59,2,0
58,2,1
58,5,1
58,4,1
55,2,0
55,4,1
55,1,0
54,5,1
54,2,0
54,1,1
57,1,0
57,5,0
57,3,0
56,2,1
56,5,0
56,4,1
51,4,1
51,2,1
51,1,0
50,2,0
50,3,0
50,4,0
53,5,0
53,2,0
53,1,0
52,2,0
52,3,0
52,4,0
88,1,0
88,2,0
88,3,0
89,1,0
89,2,1
89,3,0
82,3,0
82,4,1
82,5,1
83,2,1
83,5,0
83,4,0
80,2,0
80,3,1
80,4,1
81,3,1
81,1,0
81,2,0
86,5,0
86,2,0
86,4,0
87,2,1
87,4,0
87,3,0
84,4,1
84,2,1
84,3,1
85,2,1
85,4,1
85,1,1
3,1,1
3,2,0
3,5,0
7,1,1
7,2,0
7,3,0
39,2,1
39,1,1
39,4,1
38,2,1
38,4,0
38,1,1
33,1,0
33,4,0
33,2,0
32,3,1
32,4,0
32,5,1
31,3,1
31,2,0
31,1,1
30,5,1
30,2,1
30,4,1
37,2,1
37,3,1
37,1,0
36,5,0
36,1,0
36,4,0
35,4,0
35,1,1
35,2,1
34,5,1
34,3,0
34,1,0
60,5,1
60,1,0
60,3,1
61,3,1
61,5,0
61,4,0
62,1,1
62,4,1
62,2,0
63,2,1
63,3,0
63,4,1
64,2,0
64,4,0
64,3,1
65,2,1
65,3,1
65,1,1
66,3,0
66,2,1
66,5,1
67,2,1
67,5,1
67,1,1
68,5,1
68,2,1
68,4,1
69,2,0
69,4,0
69,1,0
2,5,0
2,4,0
2,2,1
6,1,1
6,2,1
6,5,1
99,5,1
99,3,1
99,2,0
98,2,1
98,5,0
98,1,0
91,3,1
91,1,1
91,2,1
90,2,1
90,3,0
90,1,1
93,3,1
93,4,1
93,5,1
92,3,1
92,2,1
92,4,1
95,1,0
95,3,0
95,4,1
94,1,0
94,2,0
94,3,0
97,2,0
97,1,0
97,5,0
96,3,0
96,1,0
96,5,0
11,4,1
11,5,1
11,2,0
10,2,1
10,1,0
10,3,1
13,5,0
13,4,0
13,3,0
12,1,0
12,4,0
12,5,0
15,3,1
15,4,0
15,5,0
14,4,1
14,2,0
14,5,1
17,4,1
17,1,1
17,3,1
16,2,1
16,1,1
16,5,1
19,4,1
19,1,0
19,5,1
18,3,0
18,1,1
18,2,1
48,5,0
48,2,0
48,1,0
49,4,1
49,5,1
49,2,1
46,1,0
46,4,1
46,2,1
47,5,0
47,2,1
47,1,0
44,1,0
44,4,1
44,2,0
45,3,1
45,5,0
45,2,1
42,2,1
42,4,1
42,3,1
43,1,0
43,5,1
43,2,1
40,3,0
40,2,1
40,5,1
41,3,1
41,5,1
41,4,1
1,4,1
1,1,1
1,2,0
5,3,1
5,2,1
5,1,1
9,1,1
9,5,1
9,4,1
77,5,1
77,1,0
77,3,0
76,2,1
76,3,1
76,4,1
75,3,1
75,5,1
75,4,1
74,2,0
74,1,0
74,4,0
73,5,0
73,2,1
73,3,1
72,5,1
72,2,0
72,1,0
71,2,0
71,4,0
71,1,0
70,1,1
70,5,1
70,2,1
79,4,0
79,1,1
79,3,0
78,2,1
78,1,0
78,4,1
