question,worker,answer
24,5,0
24,4,0
25,3,1
25,1,1
26,2,0
26,4,1
27,5,1
27,2,1
20,1,0
20,3,0
21,1,0
21,5,0
22,1,1
22,3,1
23,1,1
23,5,1
28,5,1
28,4,0
29,4,1
29,1,1
0,2,1
0,4,1
4,4,1
4,2,1
8,3,1
8,5,1
59,2,0
59,1,0
58,2,1
58,3,1
55,3,1
55,1,0
54,1,1
54,4,1
57,4,0
57,1,0
56,1,1
56,5,0
51,5,1
51,3,1
50,5,1
50,3,0
53,4,0
53,1,0
52,4,0
52,2,0
88,1,0
88,5,1
89,2,1
89,3,0
82,4,1
82,3,0
83,1,1
83,5,0
80,2,0
80,4,1
81,2,0
81,3,1
86,2,0
86,3,0
87,2,1
87,1,0
84,5,1
84,4,1
85,2,1
85,1,1
3,3,1
3,2,0
7,5,1
7,4,0
39,1,1
39,2,1
38,3,1
38,2,1
33,4,0
33,1,0
32,4,0
32,2,0
31,1,1
31,3,1
30,1,1
30,4,1
37,4,0
37,5,0
36,3,0
36,2,0
35,4,0
35,5,0
34,4,1
34,3,0
60,2,0
60,1,0
61,2,1
61,5,0
62,4,1
62,2,0
63,2,1
63,3,0
64,1,0
64,5,0
65,4,1
65,5,1
66,3,0
66,5,1
67,2,1
67,1,1
68,1,0
68,3,1
69,5,1
69,4,0
2,5,0
2,2,1
6,3,0
6,1,1
99,3,1
99,2,0
98,5,0
98,1,0
91,4,1
91,2,1
90,4,1
90,5,1
93,2,1
93,5,1
92,5,1
92,4,1
95,2,1
95,4,1
94,1,0
94,4,1
97,2,0
97,1,0
96,3,0
96,1,0
11,2,0
11,4,1
10,3,1
10,4,0
13,3,0
13,1,0
12,2,1
12,1,0
15,1,1
15,5,0
14,3,0
14,1,1
17,5,1
17,4,1
16,3,0
16,4,1
19,2,1
19,1,0
18,1,1
18,3,0
48,1,0
48,4,1
49,1,0
49,4,1
46,3,0
46,5,1
47,1,0
47,5,0
44,2,0
44,5,0
45,4,1
45,1,1
42,4,1
42,1,0
43,2,1
43,1,0
40,3,0
40,2,1
41,4,1
41,1,1
1,3,1
1,5,0
5,1,1
5,2,1
9,3,1
9,5,1
77,4,1
77,1,0
76,2,1
76,1,1
75,5,1
75,2,1
74,5,1
74,1,0
73,1,1
73,3,1
72,2,0
72,3,0
71,4,0
71,2,0
70,5,1
70,4,1
79,1,1
79,5,0
78,4,1
78,5,0
