question,worker,answer
clueweb09-en0001-19-03616,w116,1
clueweb09-en0001-19-03616,w102,0
clueweb09-en0011-38-18524,w451,1
clueweb09-en0011-38-18524,w452,1
clueweb09-en0004-00-09620,w153,1
clueweb09-en0004-00-09620,w675,0
clueweb09-en0007-20-24224,w209,0
clueweb09-en0007-20-24224,w320,0
clueweb09-en0005-41-01643,w108,1
clueweb09-en0005-41-01643,w129,0
clueweb09-enwp00-74-04144,w561,1
clueweb09-enwp00-74-04144,w616,1
clueweb09-en0000-21-18914,w280,1
clueweb09-en0000-21-18914,w572,0
clueweb09-en0009-82-39366,w589,0
clueweb09-en0009-82-39366,w675,0
clueweb09-en0007-55-10816,w589,1
clueweb09-en0007-55-10816,w688,1
clueweb09-en0008-38-13162,w394,1
clueweb09-en0008-38-13162,w488,0
clueweb09-en0004-98-00139,w425,1
clueweb09-en0004-98-00139,w575,0
clueweb09-en0002-05-37920,w403,1
clueweb09-en0002-05-37920,w343,1
clueweb09-enwp01-17-07013,w101,1
clueweb09-enwp01-17-07013,w113,0
clueweb09-en0009-14-22599,w457,1
clueweb09-en0009-14-22599,w108,1
clueweb09-enwp02-14-14436,w196,1
clueweb09-enwp02-14-14436,w108,1
clueweb09-en0005-65-43696,w108,1
clueweb09-en0005-65-43696,w236,1
clueweb09-enwp00-47-04375,w124,1
clueweb09-enwp00-47-04375,w152,1
clueweb09-en0009-21-30033,w205,1
clueweb09-en0009-21-30033,w118,1
clueweb09-en0009-45-34398,w504,1
clueweb09-en0009-45-34398,w358,1
clueweb09-enwp03-01-08447,w280,1
clueweb09-enwp03-01-08447,w546,1
clueweb09-en0002-91-14529,w238,1
clueweb09-en0002-91-14529,w101,1
clueweb09-en0009-45-34391,w675,0
clueweb09-en0009-45-34391,w589,1
clueweb09-en0009-45-34394,w692,1
clueweb09-en0009-45-34394,w675,0
clueweb09-en0009-45-34395,w101,1
clueweb09-en0009-45-34395,w198,1
clueweb09-en0010-57-36744,w118,0
clueweb09-en0010-57-36744,w696,0
clueweb09-enwp01-61-20691,w565,0
clueweb09-enwp01-61-20691,w303,1
clueweb09-en0006-31-01926,w109,1
clueweb09-en0006-31-01926,w272,0
clueweb09-en0006-18-26054,w108,1
clueweb09-en0006-18-26054,w101,1
clueweb09-en0006-31-01923,w375,0
clueweb09-en0006-31-01923,w306,1
clueweb09-en0002-12-04115,w28,1
clueweb09-en0002-12-04115,w63,1
clueweb09-enwp01-68-05055,w682,0
clueweb09-enwp01-68-05055,w675,0
clueweb09-en0000-58-11120,w108,1
clueweb09-en0000-58-11120,w152,1
clueweb09-en0001-25-10385,w32,0
clueweb09-en0001-25-10385,w102,0
clueweb09-en0008-08-14534,w102,0
clueweb09-en0008-08-14534,w191,1
clueweb09-en0009-04-30435,w1,1
clueweb09-en0009-04-30435,w7,1
clueweb09-en0005-52-07383,w475,0
clueweb09-en0005-52-07383,w280,0
clueweb09-en0005-52-07382,w280,0
clueweb09-en0005-52-07382,w288,0
clueweb09-en0009-72-26897,w693,0
clueweb09-en0009-72-26897,w674,1
clueweb09-en0003-51-19313,w675,0
clueweb09-en0003-51-19313,w684,1
clueweb09-en0008-72-25616,w108,1
clueweb09-en0008-72-25616,w118,1
clueweb09-enwp00-07-16397,w101,1
clueweb09-enwp00-07-16397,w105,1
clueweb09-en0008-72-25615,w102,0
clueweb09-en0008-72-25615,w138,1
clueweb09-en0007-62-38051,w302,1
clueweb09-en0007-62-38051,w552,1
clueweb09-en0000-27-06774,w690,1
clueweb09-en0000-27-06774,w675,0
clueweb09-en0003-51-19486,w102,0
clueweb09-en0003-51-19486,w103,1
clueweb09-en0003-10-23115,w674,1
clueweb09-en0003-10-23115,w675,0
clueweb09-enwp03-07-02003,w544,1
clueweb09-enwp03-07-02003,w101,1
clueweb09-en0003-51-19483,w682,1
clueweb09-en0003-51-19483,w688,1
clueweb09-en0007-62-38053,w179,1
clueweb09-en0007-62-38053,w108,1
clueweb09-en0010-85-07286,w723,1
clueweb09-en0010-85-07286,w153,1
clueweb09-en0006-37-31945,w32,0
clueweb09-en0006-37-31945,w529,1
clueweb09-en0009-33-26782,w197,1
clueweb09-en0009-33-26782,w280,0
clueweb09-en0004-76-24755,w101,1
clueweb09-en0004-76-24755,w106,1
clueweb09-en0000-03-14261,w294,0
clueweb09-en0000-03-14261,w108,1
clueweb09-enwp02-06-03775,w108,1
clueweb09-enwp02-06-03775,w339,1
clueweb09-en0008-08-11305,w112,1
clueweb09-en0008-08-11305,w118,0
clueweb09-enwp02-03-15273,w140,1
clueweb09-enwp02-03-15273,w108,1
clueweb09-en0000-33-17714,w593,0
clueweb09-en0000-33-17714,w660,0
clueweb09-en0004-15-28952,w153,1
clueweb09-en0004-15-28952,w118,1
clueweb09-en0004-15-28951,w685,1
clueweb09-en0004-15-28951,w718,1
clueweb09-en0000-10-04807,w101,1
clueweb09-en0000-10-04807,w394,0
clueweb09-en0001-46-32609,w679,0
clueweb09-en0001-46-32609,w675,0
clueweb09-enwp02-00-14562,w682,1
clueweb09-enwp02-00-14562,w589,1
clueweb09-en0001-50-07749,w20,1
clueweb09-en0001-50-07749,w7,1
clueweb09-en0001-86-29489,w272,0
clueweb09-en0001-86-29489,w179,0
clueweb09-en0011-93-28563,w682,0
clueweb09-en0011-93-28563,w205,0
clueweb09-en0001-18-30508,w149,1
clueweb09-en0001-18-30508,w197,1
clueweb09-en0004-10-21079,w100,0
clueweb09-en0004-10-21079,w102,0
clueweb09-enwp02-21-13752,w17,1
clueweb09-enwp02-21-13752,w18,1
clueweb09-en0009-69-32704,w108,1
clueweb09-en0009-69-32704,w363,1
clueweb09-enwp01-32-16104,w113,1
clueweb09-enwp01-32-16104,w102,0
clueweb09-en0006-14-02938,w121,0
clueweb09-en0006-14-02938,w108,1
clueweb09-en0006-14-02939,w304,1
clueweb09-en0006-14-02939,w121,0
clueweb09-en0010-59-35965,w108,1
clueweb09-en0010-59-35965,w593,1
