question,worker,answer
24,3,0
25,5,1
26,5,0
27,2,0
20,1,0
21,1,1
22,5,1
23,5,1
28,1,1
29,1,1
0,5,1
4,1,1
8,5,1
59,4,0
58,2,1
55,5,1
54,3,0
57,1,1
56,5,1
51,1,1
50,2,1
53,3,1
52,3,1
88,4,1
89,4,0
82,4,1
83,2,0
80,4,1
81,5,1
86,3,0
87,5,0
84,1,1
85,4,0
3,1,0
7,2,0
39,2,0
38,5,1
33,3,1
32,2,0
31,1,0
30,1,1
37,4,0
36,1,0
35,3,0
34,5,0
60,4,0
61,3,1
62,3,1
63,4,1
64,3,0
65,5,1
66,4,0
67,1,0
68,3,0
69,1,1
2,1,0
6,4,0
99,3,1
98,2,0
91,4,0
90,2,1
93,1,0
92,3,1
95,5,1
94,4,0
97,1,0
96,5,0
11,4,1
10,5,0
13,1,1
12,4,0
15,4,0
14,4,1
17,3,1
16,5,1
19,5,1
18,3,1
48,1,0
49,1,1
46,2,1
47,3,0
44,1,0
45,1,0
42,5,0
43,2,1
40,5,0
41,2,0
1,3,1
5,2,1
9,1,1
77,4,0
76,2,1
75,2,1
74,5,1
73,5,1
72,5,0
71,5,1
70,3,0
79,2,0
78,2,0
