question,worker,answer
344,4,0
344,2,0
345,4,1
345,3,1
346,2,0
346,4,0
347,3,1
347,4,1
340,4,0
340,3,1
341,2,0
341,3,0
342,3,0
342,4,0
343,3,0
343,4,1
348,3,1
348,2,1
349,3,1
349,4,1
298,3,1
298,4,1
299,3,1
299,2,1
296,2,0
296,3,0
297,3,1
297,4,0
294,2,1
294,3,1
295,3,0
295,2,1
292,3,0
292,2,1
293,3,1
293,4,1
290,3,1
290,4,1
291,3,1
291,2,0
199,3,1
199,4,1
198,4,1
198,3,1
195,4,1
195,3,1
194,4,0
194,2,0
197,3,0
197,2,0
196,4,0
196,3,1
191,4,0
191,3,0
190,2,1
190,4,0
193,4,1
193,2,1
192,2,0
192,4,0
270,3,0
270,4,0
271,3,0
271,2,0
272,2,0
272,4,0
273,2,0
273,3,0
274,2,0
274,4,1
275,2,0
275,4,0
276,4,1
276,2,0
277,4,0
277,2,0
278,4,0
278,2,0
279,2,1
279,4,1
108,4,0
108,3,1
109,4,1
109,2,0
102,2,1
102,3,0
103,3,1
103,4,1
100,4,1
100,2,0
101,4,0
101,3,0
106,4,0
106,2,1
107,4,1
107,3,1
104,4,0
104,2,1
105,4,1
105,3,0
39,2,0
39,3,0
38,3,0
38,2,1
33,2,1
33,3,1
32,2,1
32,3,1
31,4,0
31,3,0
30,4,0
30,2,0
37,2,1
37,3,0
36,2,1
36,4,1
35,4,1
35,3,1
34,4,1
34,2,0
339,3,1
339,2,1
338,4,1
338,3,1
335,3,1
335,4,1
334,4,1
334,3,1
337,3,0
337,4,0
336,3,1
336,4,1
331,4,0
331,2,1
330,4,1
330,3,1
333,3,0
333,4,0
332,2,1
332,4,1
0,4,1
0,3,1
6,3,0
6,4,0
99,4,0
99,2,0
98,2,1
98,4,1
91,4,0
91,2,0
90,4,0
90,2,0
93,2,0
93,4,0
92,2,0
92,4,0
95,3,0
95,4,1
94,3,1
94,2,0
97,4,1
97,3,1
96,2,1
96,3,0
238,3,0
238,2,1
239,3,0
239,2,0
234,2,0
234,3,0
235,4,0
235,3,0
236,2,1
236,3,1
237,4,1
237,2,1
230,2,0
230,3,1
231,4,1
231,3,1
232,3,0
232,2,1
233,2,1
233,3,1
1,3,0
1,4,1
146,3,1
146,4,1
147,2,0
147,3,0
144,2,0
144,4,0
145,4,0
145,2,0
142,3,1
142,2,1
143,2,1
143,4,1
140,3,0
140,4,0
141,4,0
141,3,0
148,4,0
148,2,0
149,2,1
149,4,1
133,4,0
133,3,0
132,2,0
132,4,0
131,2,0
131,3,1
130,3,0
130,2,0
137,3,1
137,2,0
136,2,1
136,3,1
135,4,0
135,3,0
134,4,0
134,3,1
139,3,1
139,4,1
138,2,0
138,4,0
24,3,0
24,4,0
25,2,1
25,3,0
26,3,0
26,2,1
27,4,1
27,3,0
20,4,1
20,3,1
21,3,0
21,4,0
22,4,1
22,2,1
23,2,0
23,4,0
28,4,1
28,2,0
29,2,0
29,4,0
88,3,1
88,4,1
89,4,0
89,3,0
82,4,0
82,2,1
83,3,0
83,2,0
80,3,0
80,2,0
81,4,0
81,2,1
86,3,1
86,2,1
87,3,1
87,2,0
84,4,0
84,2,0
85,4,1
85,2,1
7,2,1
7,4,1
245,2,1
245,4,1
244,2,1
244,4,0
247,3,0
247,2,1
246,3,1
246,2,1
241,4,0
241,2,0
240,4,0
240,3,0
243,2,0
243,4,0
242,2,0
242,3,0
249,4,0
249,2,1
248,3,1
248,2,1
179,4,1
179,2,1
178,3,1
178,4,1
177,3,0
177,4,1
176,3,1
176,2,1
175,3,0
175,2,0
174,3,0
174,2,1
173,3,1
173,2,1
172,4,0
172,3,0
171,4,0
171,2,0
170,3,0
170,4,0
182,3,1
182,4,1
183,4,1
183,2,0
180,2,1
180,3,1
181,2,1
181,3,1
186,4,1
186,3,1
187,3,0
187,2,1
184,2,0
184,3,0
185,2,0
185,4,0
188,2,1
188,4,0
189,4,1
189,3,0
11,4,0
11,2,0
10,3,0
10,2,0
13,2,1
13,3,0
12,3,0
12,4,0
15,2,1
15,3,1
14,3,1
14,2,1
17,2,0
17,3,0
16,4,1
16,2,1
19,3,1
19,2,0
18,4,0
18,3,0
322,3,0
322,4,0
323,3,0
323,2,0
320,3,1
320,2,0
321,4,1
321,3,0
326,4,1
326,3,1
327,4,1
327,3,0
324,2,1
324,3,1
325,3,0
325,4,1
328,2,0
328,3,0
329,2,0
329,4,0
201,3,0
201,4,0
200,4,1
200,2,1
203,2,0
203,4,1
202,4,1
202,3,1
205,3,0
205,2,0
204,3,1
204,2,1
207,4,0
207,2,0
206,2,1
206,4,1
209,4,1
209,2,1
208,4,0
208,3,0
77,2,1
77,3,0
76,4,0
76,3,0
75,3,0
75,4,1
74,4,1
74,2,0
73,2,1
73,4,1
72,3,1
72,4,1
71,3,1
71,2,1
70,4,0
70,2,1
79,4,0
79,2,1
78,2,0
78,4,1
2,3,0
2,2,1
8,3,0
8,2,0
120,2,1
120,4,0
121,3,0
121,2,0
122,3,1
122,4,1
123,2,1
123,4,1
124,3,0
124,4,1
125,4,1
125,2,1
126,4,1
126,3,1
127,3,1
127,4,1
128,2,1
128,3,0
129,4,1
129,3,1
319,2,1
319,3,1
318,2,1
318,4,1
313,4,0
313,3,0
312,2,0
312,3,0
311,3,0
311,2,1
310,2,0
310,4,1
317,4,1
317,2,1
316,2,0
316,3,1
315,2,0
315,4,1
314,4,0
314,3,0
3,3,1
3,4,1
60,2,1
60,3,1
61,3,0
61,4,0
258,3,0
258,4,0
63,4,1
63,2,0
64,2,0
64,4,0
65,3,1
65,2,0
66,4,1
66,2,1
67,4,0
67,2,0
68,2,1
68,4,1
69,4,1
69,2,1
250,4,1
250,2,1
251,2,1
251,4,1
256,2,1
256,4,1
257,3,0
257,2,1
254,4,1
254,3,0
255,2,0
255,4,1
168,4,0
168,3,1
169,3,0
169,2,0
164,4,1
164,2,1
165,2,0
165,3,0
166,4,0
166,2,0
167,3,0
167,2,0
160,3,1
160,4,1
161,2,0
161,3,0
162,3,1
162,2,0
163,4,0
163,3,0
9,2,0
9,3,0
216,2,0
216,4,1
217,2,1
217,4,0
214,4,0
214,3,0
215,2,0
215,3,0
212,4,0
212,3,0
213,4,0
213,3,0
210,3,0
210,2,0
211,4,0
211,3,0
218,4,1
218,2,1
219,4,1
219,3,1
289,3,0
289,4,0
288,3,1
288,4,1
4,3,0
4,2,1
281,4,0
281,2,1
280,3,1
280,4,1
283,3,1
283,4,1
282,2,0
282,3,0
285,3,1
285,4,1
284,2,1
284,3,1
287,4,0
287,2,0
286,4,1
286,2,0
263,3,1
263,2,0
262,2,1
262,3,1
261,4,0
261,2,1
260,2,0
260,3,0
267,4,0
267,2,0
266,4,0
266,3,0
265,3,1
265,2,1
264,4,0
264,2,0
269,2,0
269,4,0
268,3,0
268,4,0
59,4,0
59,2,0
58,4,1
58,3,0
55,3,1
55,2,1
54,2,1
54,3,1
57,3,1
57,4,1
56,4,0
56,2,1
51,2,1
51,4,1
62,4,0
62,2,0
53,3,1
53,4,1
52,4,1
52,2,1
259,3,0
259,2,0
50,4,1
50,2,1
115,4,1
115,2,1
252,3,0
252,4,0
117,2,1
117,3,1
116,3,1
116,2,1
111,3,1
111,4,1
110,2,0
110,4,0
113,4,0
113,3,1
253,4,1
253,3,1
119,2,1
119,4,0
118,2,0
118,3,0
308,3,0
308,2,0
309,4,1
309,2,0
300,4,1
300,3,1
301,2,1
301,4,1
302,3,1
302,4,1
303,4,0
303,3,0
304,4,0
304,2,0
305,3,1
305,2,1
306,4,0
306,2,0
307,3,0
307,4,1
229,2,1
229,4,0
228,4,0
228,2,0
227,4,0
227,3,0
226,3,0
226,2,1
225,2,0
225,4,1
224,4,1
224,2,1
223,2,1
223,3,1
222,3,1
222,4,1
221,4,0
221,3,0
220,3,0
220,2,0
114,3,0
114,4,0
151,4,1
151,2,1
150,4,1
150,3,1
153,3,0
153,4,0
152,4,0
152,2,0
155,3,0
155,4,0
154,4,1
154,2,1
157,2,0
157,3,1
156,4,1
156,3,1
159,3,1
159,2,0
158,3,1
158,2,0
112,3,0
112,2,0
48,3,1
48,2,1
49,4,0
49,3,0
46,3,0
46,2,1
47,3,0
47,2,0
44,4,0
44,2,0
45,3,0
45,2,1
42,2,0
42,3,0
43,2,0
43,3,0
40,2,0
40,3,0
41,3,0
41,2,0
5,4,0
5,3,0
