question,worker,answer
clueweb09-en0001-85-26958,worker-51,1
clueweb09-en0001-85-26958,worker-117,0
clueweb09-en0000-04-14301,worker-65,0
clueweb09-en0000-04-14301,worker-24,1
clueweb09-enwp01-81-11931,worker-24,1
clueweb09-enwp01-81-11931,worker-65,1
clueweb09-enwp01-35-12260,worker-65,1
clueweb09-enwp01-35-12260,worker-24,1
clueweb09-en0004-74-03077,worker-58,1
clueweb09-en0004-74-03077,worker-30,1
clueweb09-en0003-59-23000,worker-19,1
clueweb09-en0003-59-23000,worker-117,0
clueweb09-en0011-28-14558,worker-65,1
clueweb09-en0011-28-14558,worker-74,0
clueweb09-enwp02-21-13752,worker-95,1
clueweb09-enwp02-21-13752,worker-65,1
clueweb09-en0006-85-24113,worker-117,0
clueweb09-en0006-85-24113,worker-126,1
clueweb09-en0000-00-07701,worker-116,1
clueweb09-en0000-00-07701,worker-117,0
clueweb09-en0009-26-15066,worker-201,1
clueweb09-en0009-26-15066,worker-24,1
clueweb09-en0007-26-02115,worker-24,1
clueweb09-en0007-26-02115,worker-65,1
clueweb09-en0007-39-24332,worker-65,1
clueweb09-en0007-39-24332,worker-24,1
clueweb09-en0009-89-11534,worker-65,1
clueweb09-en0009-89-11534,worker-30,1
clueweb09-enwp03-31-01362,worker-104,1
clueweb09-enwp03-31-01362,worker-117,0
clueweb09-en0009-89-11532,worker-24,1
clueweb09-en0009-89-11532,worker-17,1
clueweb09-en0003-69-04818,worker-77,1
clueweb09-en0003-69-04818,worker-117,0
clueweb09-en0000-92-27444,worker-117,0
clueweb09-en0000-92-27444,worker-97,1
clueweb09-enwp01-19-20724,worker-77,1
clueweb09-enwp01-19-20724,worker-19,1
clueweb09-en0005-08-29706,worker-126,1
clueweb09-en0005-08-29706,worker-149,1
clueweb09-en0005-02-39304,worker-117,0
clueweb09-en0005-02-39304,worker-19,1
clueweb09-en0005-88-21627,worker-162,1
clueweb09-en0005-88-21627,worker-70,1
clueweb09-en0000-58-00732,worker-19,1
clueweb09-en0000-58-00732,worker-68,0
clueweb09-en0007-24-16723,worker-21,1
clueweb09-en0007-24-16723,worker-30,1
clueweb09-en0001-05-15944,worker-74,0
clueweb09-en0001-05-15944,worker-24,1
clueweb09-en0006-01-20491,worker-117,0
clueweb09-en0006-01-20491,worker-71,1
clueweb09-en0000-01-12053,worker-65,0
clueweb09-en0000-01-12053,worker-106,0
clueweb09-en0007-64-05358,worker-65,1
