question,worker,answer
451_WTX001-B42-15,input.apl9td,0
451_WTX001-B42-15,input.xvsmmain,1
451_WTX001-B42-15,input.att0010glf,0
451_WTX001-B42-15,input.tnout9t2,1
451_WTX001-B42-15,input.tnout9t2lc10,1
451_WTX001-B42-15,input.NRKse10,0
451_WTX001-B42-15,input.att0010gbl,0
451_WTX001-B42-15,input.apl9ltdn,0
451_WTX001-B42-15,input.pir0Wt1,0
451_WTX001-B42-15,input.PuShortAuth,0
451_WTX001-B40-99,input.dcu00la,0
451_WTX001-B40-99,input.Scai9Web4,1
451_WTX001-B40-99,input.PuLongAuth,0
451_WTX001-B40-99,input.uwmt9w10g0,1
451_WTX001-B40-99,input.Sab9web5,0
451_WTX001-B40-99,input.acsys9mw0,0
451_WTX001-B40-99,input.ric9dpxL,0
451_WTX001-B40-99,input.hum9tde,0
451_WTX001-B40-99,input.tnout9t2lc10,1
451_WTX001-B40-99,input.isnnwt,0
451_WTX001-B23-336,input.Scai9Web4,0
451_WTX001-B23-336,input.Flab9atN,0
451_WTX001-B23-336,input.UCCS1,0
451_WTX001-B23-336,input.PuLongWAuth,0
451_WTX001-B23-336,input.NEnmLpas,0
451_WTX001-B23-336,input.apl9t,0
451_WTX001-B23-336,input.uwmt9w10g0,0
451_WTX001-B23-336,input.ric9dpn,0
451_WTX001-B23-336,input.UCCS3,0
451_WTX001-B23-336,input.uwmt9w10g2,0
451_WTX001-B41-129,input.hum9td4,0
451_WTX001-B41-129,input.Scai9Web1,0
451_WTX001-B41-129,input.NRKlm,0
451_WTX001-B41-129,input.Flab9atdnN,0
451_WTX001-B41-129,input.jscbt9wls1,0
451_WTX001-B41-129,input.Mer9Wtnd,0
451_WTX001-B41-129,input.ric9dpx,0
451_WTX001-B41-129,input.ric9dpn,0
451_WTX001-B41-129,input.Sab9web4,0
451_WTX001-B41-129,input.jscbt9wll1,0
451_WTX001-B08-58,input.PuShortWAuth,0
451_WTX001-B08-58,input.acsys9mw0,1
451_WTX001-B08-58,input.dcu00lb,0
451_WTX001-B08-58,input.tnout9f1,0
451_WTX001-B08-58,input.apl9t,0
451_WTX001-B08-58,input.apl9tdn,0
451_WTX001-B08-58,input.hum9td4,0
451_WTX001-B08-58,input.Scai9Web3,0
451_WTX001-B08-58,input.NRKlm,0
451_WTX001-B08-58,input.uwmt9w10g1,0
451_WTX001-B39-260,input.NRKse10,0
451_WTX001-B39-260,input.rmitNFLweb,0
451_WTX001-B39-260,input.pir0WTTD,0
451_WTX001-B39-260,input.PuLongAuth,0
451_WTX001-B39-260,input.dcu00lb,0
451_WTX001-B39-260,input.Sab9web2,0
451_WTX001-B39-260,input.apl9lt,0
451_WTX001-B39-260,input.hum9tdn,0
451_WTX001-B39-260,input.uwmt9w10g2,0
451_WTX001-B39-260,input.uwmt9w10g5,0
451_WTX001-B17-53,input.iit00m,0
451_WTX001-B17-53,input.PuLongBase,0
451_WTX001-B17-53,input.uwmt9w10g4,0
451_WTX001-B17-53,input.pir0Wt1,0
451_WTX001-B17-53,input.rmitNFGweb,0
451_WTX001-B17-53,input.Scai9Web3,0
451_WTX001-B17-53,input.UCCS1,0
451_WTX001-B17-53,input.att0010gbl,0
451_WTX001-B17-53,input.dcu00lb,0
451_WTX001-B17-53,input.CWI0010,0
451_WTX001-B27-367,input.ric9dpxL,0
451_WTX001-B27-367,input.jscbt9wll1,0
451_WTX001-B27-367,input.NRKlm,0
451_WTX001-B27-367,input.ric9dsx,0
451_WTX001-B27-367,input.Sab9web1,0
451_WTX001-B27-367,input.att0010gbe,0
451_WTX001-B27-367,input.apl9lt,0
451_WTX001-B27-367,input.Flab9atN,0
451_WTX001-B27-367,input.iit00t,0
451_WTX001-B27-367,input.Mer9WtdMr,0
451_WTX002-B01-101,input.rmitNFLweb,0
451_WTX002-B01-101,input.pir0WTTD,0
451_WTX002-B01-101,input.Mer9Wt0,0
451_WTX002-B01-101,input.att0010glv,0
451_WTX002-B01-101,input.iit00t,0
451_WTX002-B01-101,input.Flab9atd2N,0
451_WTX002-B01-101,input.NRKse20,0
451_WTX002-B01-101,input.apl9lt,0
451_WTX002-B01-101,input.UCCS2,0
451_WTX002-B01-101,input.Sab9web1,0
451_WTX001-B06-78,input.rmitNFGweb,0
451_WTX001-B06-78,input.NEnmLsa,0
451_WTX001-B06-78,input.Flab9atd2N,0
451_WTX001-B06-78,input.rmitNFLweb,0
451_WTX001-B06-78,input.jscbt9wls2,0
451_WTX001-B06-78,input.jscbt9wcl1,0
451_WTX001-B06-78,input.NRKprf20,0
451_WTX001-B06-78,input.Flab9atN,0
451_WTX001-B06-78,input.ric9dpn,0
451_WTX001-B06-78,input.isnnwt,0
