question,worker,answer
344,4,1
344,3,1
0,2,0
0,4,1
346,3,1
346,2,0
347,4,0
347,3,1
340,3,1
340,2,0
341,3,1
341,2,0
342,2,0
342,3,1
343,4,1
343,2,1
348,4,1
348,3,1
349,2,0
349,4,0
298,3,0
298,4,0
299,4,1
299,2,1
296,4,0
296,3,1
297,4,1
297,2,0
294,4,1
294,3,1
295,2,1
295,3,1
292,2,0
292,3,1
293,2,0
293,4,1
290,4,0
290,3,0
291,4,0
291,3,0
199,4,0
199,2,0
198,4,1
198,2,0
195,3,1
195,4,1
194,2,0
194,3,0
197,3,0
197,2,0
196,4,1
196,3,1
191,3,0
191,2,1
190,3,1
190,2,0
193,4,0
193,2,1
192,3,0
192,4,1
270,4,1
270,2,1
271,3,0
271,4,0
272,2,0
272,3,0
273,3,1
273,4,1
274,4,0
274,3,0
275,2,1
275,4,0
276,4,1
276,3,0
277,3,1
277,2,0
278,2,0
278,3,1
279,4,1
279,3,1
449,3,1
449,2,1
448,2,0
448,4,1
443,3,1
443,2,0
442,2,0
442,4,0
441,3,1
441,2,0
440,4,0
440,3,1
447,4,0
447,3,0
446,4,1
446,3,1
445,4,0
445,3,1
444,3,1
444,4,0
108,3,0
108,4,0
109,2,1
109,4,0
102,4,1
102,3,0
103,2,0
103,4,0
100,2,0
100,3,0
101,4,1
101,3,1
106,2,0
106,3,1
107,2,1
107,4,0
104,2,1
104,3,0
105,3,1
105,2,1
39,3,1
39,2,0
38,4,0
38,2,1
33,2,1
33,4,0
32,3,0
32,2,1
31,2,0
31,3,1
30,4,0
30,2,1
37,2,0
37,4,0
36,3,1
36,4,1
35,4,1
35,2,0
34,3,1
34,4,1
438,3,0
438,2,1
439,4,0
439,3,1
436,3,0
436,2,1
437,4,1
437,3,1
434,4,1
434,3,0
435,2,1
435,4,0
432,2,1
432,3,0
433,2,1
433,4,0
430,4,0
430,3,0
431,4,0
431,3,1
339,2,1
339,3,0
338,4,0
338,2,1
335,4,0
335,2,1
334,2,1
334,4,0
337,3,0
337,4,0
336,2,1
336,4,0
331,2,0
331,4,1
330,2,0
330,3,0
333,3,0
333,4,1
332,4,0
332,2,1
345,4,1
345,3,1
6,2,0
6,3,1
99,4,0
99,3,0
98,3,0
98,4,1
91,3,0
91,2,0
90,3,1
90,4,0
93,4,0
93,2,1
92,4,1
92,3,1
95,4,0
95,2,1
94,3,1
94,4,1
97,4,1
97,3,1
96,3,0
96,4,0
238,3,0
238,4,0
239,4,0
239,2,1
234,3,1
234,4,1
235,3,0
235,4,0
236,2,1
236,3,0
237,3,0
237,2,1
230,2,0
230,3,1
231,4,1
231,2,0
232,4,1
232,2,0
233,2,0
233,4,1
1,3,1
1,4,1
146,4,0
146,2,1
147,3,0
147,2,1
144,2,1
144,4,1
145,2,0
145,3,1
142,4,1
142,3,1
143,3,0
143,2,0
140,3,0
140,2,1
141,4,0
141,3,0
148,3,0
148,2,1
149,2,0
149,3,1
133,4,0
133,3,0
132,2,0
132,3,1
131,3,1
131,4,1
130,2,1
130,3,1
498,3,1
498,2,0
136,3,1
136,4,1
135,3,1
135,4,0
134,2,1
134,4,0
494,2,1
494,3,1
495,2,1
495,4,0
139,2,1
139,4,0
497,2,0
497,4,1
490,4,1
490,3,1
491,3,0
491,4,0
492,4,1
492,3,1
493,2,1
493,4,0
24,2,0
24,4,1
25,3,0
25,2,0
26,4,1
26,2,1
27,2,0
27,3,0
20,3,1
20,2,0
21,4,0
21,2,1
22,3,0
22,2,1
23,2,0
23,3,1
28,3,0
28,4,1
29,2,0
29,4,1
407,3,1
407,4,1
406,4,1
406,3,0
405,3,1
405,4,0
404,3,1
404,2,1
403,3,1
403,4,0
402,2,1
402,3,0
401,4,0
401,3,0
400,3,1
400,4,1
409,3,0
409,2,1
408,4,1
408,2,1
379,3,1
379,2,0
378,3,1
378,2,0
371,3,0
371,4,0
370,4,0
370,3,0
373,4,1
373,2,0
372,4,0
372,3,1
375,4,1
375,3,0
374,4,0
374,3,1
377,2,1
377,4,1
376,2,0
376,3,1
393,2,1
393,4,0
392,3,0
392,2,0
88,2,0
88,4,0
390,2,0
390,4,1
397,2,0
397,4,1
396,2,1
396,4,1
395,3,0
395,4,0
394,4,1
394,3,1
82,3,1
82,2,0
83,2,0
83,4,0
399,3,0
399,2,1
