question,worker,answer
24,5,0
25,4,1
26,4,1
27,4,0
20,5,0
21,2,0
22,5,1
23,3,0
28,5,1
29,2,1
0,1,1
4,4,1
8,2,1
59,3,1
58,2,1
55,4,1
54,4,1
57,5,0
56,4,1
51,5,1
50,1,0
53,2,0
52,5,0
88,1,0
89,5,0
82,5,1
83,5,0
80,2,0
81,1,0
86,5,0
87,1,0
84,2,1
85,5,1
3,5,0
7,1,1
39,3,1
38,1,1
33,2,0
32,1,1
31,4,1
30,1,1
37,3,1
36,3,0
35,4,0
34,4,1
60,2,0
61,3,1
62,1,1
63,2,1
64,3,1
65,4,1
66,1,1
67,3,1
68,3,1
69,5,1
2,5,0
6,3,0
99,2,0
98,3,1
91,4,1
90,2,1
93,3,1
92,2,1
95,5,0
94,3,0
97,3,0
96,1,0
11,2,0
10,4,0
13,4,0
12,5,0
15,5,0
14,1,1
17,3,1
16,1,1
19,4,1
18,4,0
48,2,0
49,4,1
46,3,0
47,5,0
44,3,0
45,4,1
42,2,1
43,5,1
40,3,0
41,2,1
1,2,0
5,2,1
9,4,1
77,3,0
76,4,1
75,2,1
74,5,1
73,3,1
72,5,1
71,5,0
70,4,1
79,5,0
78,3,1
