question,worker,answer
clueweb09-en0001-19-03616,w102,0
clueweb09-en0005-41-01643,w108,1
clueweb09-en0008-13-16332,w108,1
clueweb09-en0005-38-31272,w101,1
clueweb09-en0004-98-00139,w108,1
clueweb09-en0002-05-37920,w101,1
clueweb09-enwp01-17-07013,w102,0
clueweb09-enwp02-14-14436,w108,1
clueweb09-en0005-65-43696,w108,1
clueweb09-enwp00-47-04375,w108,1
clueweb09-en0004-59-28610,w102,0
clueweb09-en0009-45-34398,w101,1
clueweb09-en0002-91-14529,w108,1
clueweb09-en0009-45-34395,w101,1
clueweb09-enwp01-61-20691,w108,1
clueweb09-en0010-71-01491,w102,0
clueweb09-en0004-59-31989,w108,1
clueweb09-en0006-31-01923,w101,1
clueweb09-enwp00-30-12340,w108,1
clueweb09-en0001-25-10385,w102,0
clueweb09-en0008-08-14534,w101,1
clueweb09-en0005-52-07383,w101,1
clueweb09-en0005-52-07382,w108,1
clueweb09-en0008-72-25616,w108,1
clueweb09-enwp00-07-16397,w101,1
clueweb09-en0008-72-25615,w102,0
clueweb09-en0003-51-19486,w108,1
clueweb09-enwp01-89-05640,w101,1
clueweb09-enwp01-15-02237,w108,1
clueweb09-en0006-37-31945,w101,1
clueweb09-en0009-33-26782,w108,1
clueweb09-en0004-76-24755,w101,1
clueweb09-en0000-03-14261,w108,1
clueweb09-enwp02-06-03775,w108,1
clueweb09-en0008-08-11305,w101,1
clueweb09-enwp02-03-15273,w108,1
clueweb09-en0000-10-04807,w101,1
clueweb09-en0001-18-30508,w101,1
clueweb09-enwp01-16-13350,w101,1
clueweb09-en0004-10-21079,w101,1
clueweb09-en0009-69-32704,w108,1
clueweb09-enwp01-32-16104,w102,0
clueweb09-en0006-14-02938,w101,1
clueweb09-en0006-14-02939,w108,1
clueweb09-en0010-59-35965,w108,1
clueweb09-en0010-78-24757,w102,0
clueweb09-en0010-59-35966,w108,1
clueweb09-en0010-54-37766,w101,1
clueweb09-en0010-21-36265,w108,1
clueweb09-enwp00-25-05356,w101,1
clueweb09-en0003-22-05497,w108,1
clueweb09-en0004-48-36209,w108,1
clueweb09-en0007-79-10936,w101,1
clueweb09-en0000-19-35982,w101,1
clueweb09-en0001-97-28653,w108,1
clueweb09-enwp03-06-24321,w108,1
clueweb09-en0003-74-12212,w102,0
clueweb09-en0000-06-05415,w108,1
clueweb09-en0010-44-21160,w101,1
clueweb09-en0006-74-30784,w108,1
clueweb09-en0011-92-35374,w101,1
clueweb09-en0009-47-21161,w108,1
clueweb09-en0002-81-15150,w108,1
clueweb09-en0004-34-24405,w102,0
clueweb09-en0004-66-02999,w108,1
clueweb09-enwp03-35-10471,w101,1
clueweb09-enwp01-16-01141,w101,1
